src_ip,dst_ip,protocol,src_port,dst_port,bytes_sent,bytes_received,duration,packet_count,attack_type
33.225.251.117,228.120.207.42,UDP,23823,48126,1678,2334,362,63,normal
85.61.151.92,228.104.158.35,ICMP,28454,11470,4010,6390,29,34,normal
3.63.112.98,11.21.193.194,UDP,63486,60134,7534,9784,577,77,normal
37.39.36.205,251.119.143.124,ICMP,55804,12943,791,3673,162,139,normal
197.146.7.98,81.250.172.73,ICMP,60881,47127,3456,4800,470,22,normal
132.230.143.37,64.224.33.38,UDP,60887,4146,9185,9580,532,25,normal
254.209.43.68,34.218.197.124,TCP,36072,44641,7140,8192,34,58,normal
223.117.181.53,116.104.94.128,UDP,43244,22765,2196,9479,581,25,normal
13.143.142.175,9.100.116.188,UDP,37624,16738,5778,1111,28,149,normal
207.50.217.113,16.146.19.120,UDP,27056,47665,3105,7244,318,143,normal
88.63.89.43,208.112.81.106,TCP,28288,44787,3666,3888,455,9,normal
55.146.198.40,170.215.55.243,TCP,56484,46995,5383,8490,404,146,normal
110.130.121.64,249.39.57.5,TCP,53486,43593,9510,9370,431,82,normal
7.99.185.21,31.16.117.92,UDP,35108,47834,4482,5620,581,47,normal
146.167.161.255,22.215.110.152,ICMP,42240,40357,2859,1332,487,133,normal
209.182.27.194,183.143.29.214,ICMP,26013,14262,2001,6378,358,36,normal
68.165.142.237,143.226.41.26,ICMP,8240,36449,9896,2196,455,9,normal
103.232.149.204,190.237.146.60,TCP,44463,25572,7816,1284,304,45,normal
254.82.183.135,84.118.84.55,UDP,59087,48071,8724,8370,40,71,normal
13.88.24.156,31.101.231.19,TCP,43967,64668,8883,664,373,53,normal
22.47.115.33,243.106.31.124,UDP,24308,26200,2762,8994,549,14,normal
41.162.248.20,27.72.132.234,UDP,36086,17782,2310,4902,206,135,icmp_flood
28.217.88.135,54.235.148.94,UDP,8548,18175,6425,445,487,87,normal
206.107.37.213,202.144.159.93,ICMP,2972,14222,5774,3426,123,22,normal
146.41.156.107,174.116.237.222,TCP,64345,31246,2103,1451,550,121,normal
60.139.254.61,223.6.174.206,UDP,12261,11437,4783,4593,183,28,normal
130.88.126.176,154.79.220.176,TCP,22004,29853,1933,7999,392,82,normal
119.176.134.154,245.82.163.119,UDP,59214,30735,2344,3899,237,112,normal
98.47.132.50,94.230.76.104,UDP,2088,16266,8111,5381,272,130,normal
47.216.122.170,193.245.229.20,TCP,6078,26504,1638,3342,552,3,normal
105.31.91.66,84.181.4.255,UDP,62600,37043,216,5678,173,11,normal
162.47.109.81,61.142.177.63,TCP,23238,59641,681,2044,73,140,normal
223.40.30.151,135.99.11.93,UDP,55139,11933,3326,4380,78,22,normal
182.232.189.94,225.81.48.36,TCP,37917,1179,2474,5485,508,14,normal
113.36.62.196,235.147.52.203,ICMP,53200,62123,6114,1409,191,7,normal
72.159.232.207,82.58.176.81,TCP,32596,35198,2352,6482,311,35,normal
55.233.89.37,25.235.47.227,TCP,26759,62617,7658,9432,336,37,normal
159.159.78.32,205.200.64.59,UDP,59576,43107,3145,2891,171,22,normal
90.241.57.46,19.145.69.76,UDP,56889,2079,3517,5896,584,135,normal
94.52.127.192,107.52.246.181,UDP,50863,16205,8541,169,585,94,icmp_flood
57.142.214.172,200.157.116.208,TCP,19414,55420,9494,4719,258,43,normal
200.247.79.118,233.51.230.142,ICMP,58656,27607,3299,9434,166,142,normal
44.117.29.184,130.72.52.94,ICMP,59078,32103,3998,4420,314,15,normal
8.137.72.30,124.112.24.227,TCP,48255,48645,5053,807,42,85,normal
8.97.160.125,157.150.145.70,TCP,63273,60444,4731,9734,211,118,normal
44.156.252.185,146.76.38.36,ICMP,47110,18950,443,9854,575,148,port_scan
145.197.206.80,45.139.138.20,TCP,17240,22959,7843,8852,55,125,normal
94.234.89.194,4.222.99.236,UDP,12404,34697,6562,5784,283,73,normal
201.212.42.247,65.164.188.11,ICMP,54512,42418,6059,8863,539,52,normal
245.254.83.102,28.86.249.246,ICMP,13311,55303,1515,8221,258,121,normal
28.194.187.53,170.202.136.235,TCP,2883,18100,6530,6112,242,121,normal
124.123.188.91,92.129.72.225,UDP,41119,30405,2434,9873,78,24,normal
195.47.181.142,36.232.31.143,UDP,55935,3745,4731,5682,295,113,normal
195.238.53.210,159.10.215.6,ICMP,24324,16451,2597,6956,182,11,normal
76.145.8.80,26.171.227.60,TCP,12705,37768,4577,8878,315,114,normal
88.46.180.101,65.32.251.118,TCP,32204,34205,9048,8637,181,53,normal
69.213.91.139,159.23.106.175,ICMP,65114,8261,8336,2905,128,26,normal
150.196.152.116,66.6.241.111,ICMP,58830,614,8304,8549,489,13,normal
157.63.48.95,9.255.150.227,TCP,27820,54831,7301,1828,245,78,normal
143.179.238.20,170.207.80.163,ICMP,58381,44497,6147,5470,117,41,normal
179.252.49.140,164.193.137.48,TCP,4791,10274,2178,7277,399,54,normal
200.246.74.114,46.83.39.1,ICMP,3306,35784,1354,9484,302,37,normal
123.49.139.37,27.195.77.7,TCP,47016,56644,3298,1277,535,139,normal
87.143.11.63,157.134.192.34,ICMP,32867,20302,7846,7741,33,23,normal
252.3.109.98,215.40.71.87,ICMP,43122,44917,4188,7344,153,150,normal
57.173.124.247,169.42.124.112,UDP,60142,9148,2968,2882,409,32,normal
143.129.231.17,239.213.163.100,TCP,20396,21875,5723,7372,525,141,normal
34.168.27.92,5.137.116.137,ICMP,20799,835,174,7192,433,133,normal
197.207.253.75,236.19.81.105,UDP,11890,31087,4297,1639,522,4,normal
126.152.42.87,222.98.22.225,ICMP,45852,19037,452,8452,537,9,normal
181.49.229.82,75.124.53.114,ICMP,52487,13585,8980,8605,459,111,normal
106.40.222.120,200.174.165.64,TCP,61851,59791,173,4666,580,20,normal
244.220.141.223,133.111.36.164,ICMP,48831,18235,6717,6040,302,135,normal
84.5.183.64,209.110.17.153,UDP,62238,2151,7633,4632,211,150,normal
186.90.229.222,171.184.141.32,ICMP,27546,45722,7555,7177,325,117,normal
251.154.82.19,173.238.231.31,ICMP,28085,29652,5118,1364,378,85,normal
228.113.75.104,167.166.73.89,TCP,24811,53384,124,4015,27,149,normal
196.70.154.73,122.138.199.11,TCP,59282,349,7845,4348,282,37,normal
159.59.193.220,29.162.6.167,UDP,8429,56273,1608,3933,161,131,normal
114.91.149.92,196.239.71.37,TCP,45310,28290,4037,9872,453,2,normal
78.67.162.149,164.27.112.72,ICMP,17488,6234,5248,7344,176,97,normal
41.224.190.237,16.93.40.36,ICMP,6536,1291,2598,1581,234,103,normal
51.21.35.227,96.227.153.26,ICMP,32275,31195,4411,6785,518,29,normal
118.114.36.40,148.139.143.143,TCP,14107,2787,8491,8088,497,18,normal
255.19.160.16,192.1.64.154,TCP,19133,43475,4023,6928,525,148,normal
144.250.115.189,187.16.67.1,UDP,11372,2688,924,3906,107,124,normal
130.92.255.32,135.103.223.50,UDP,5102,51707,3180,8774,578,21,normal
83.10.187.100,91.30.166.28,ICMP,9326,3494,9193,1043,12,95,normal
158.250.210.247,49.53.77.53,TCP,36749,49227,2232,5258,290,23,normal
154.162.82.15,209.164.93.242,ICMP,17469,27987,625,6959,147,57,normal
8.183.95.224,97.108.215.116,ICMP,11828,4204,9700,8403,360,22,normal
69.63.101.41,141.240.31.67,TCP,8764,50664,6011,2237,546,6,normal
101.10.139.2,105.217.64.89,ICMP,12445,4504,878,4557,377,85,normal
113.240.226.93,109.80.206.1,UDP,6170,36947,9441,7048,346,136,normal
236.11.224.4,203.211.208.240,TCP,11482,8836,2417,1408,549,42,normal
165.124.156.150,76.221.107.254,TCP,33129,18572,6130,8450,106,74,normal
63.6.204.207,89.237.112.223,TCP,21650,21701,339,8379,200,87,normal
76.110.250.195,163.244.235.160,TCP,34371,29031,3449,5668,432,127,normal
53.45.151.5,148.58.157.180,UDP,43270,40160,6729,7706,491,2,normal
14.103.82.239,229.72.104.171,ICMP,8393,14866,791,9155,363,146,normal
80.57.64.154,124.37.108.120,UDP,57800,30855,3028,9326,579,20,normal
208.42.90.205,134.239.227.73,ICMP,29129,8605,320,2438,442,4,normal
247.215.95.87,238.82.61.125,ICMP,44705,13848,4402,8107,161,43,normal
144.22.251.185,129.100.152.209,TCP,17251,54273,9297,4671,279,101,ddos
50.69.223.181,209.81.202.60,ICMP,13097,29734,1237,1511,534,131,icmp_flood
117.73.74.174,62.205.56.177,UDP,27376,16995,6563,7174,222,107,normal
94.233.228.20,59.163.118.226,ICMP,3445,44571,6245,2973,130,104,normal
194.23.42.49,110.45.176.112,ICMP,62737,64728,882,4830,482,98,normal
81.227.193.169,155.54.228.228,ICMP,56721,52498,8426,9284,8,22,normal
62.154.252.105,94.27.58.251,ICMP,43084,47923,2667,6630,456,15,normal
151.249.222.119,141.240.209.159,ICMP,61920,7421,3069,1831,52,112,normal
250.31.129.235,177.42.223.119,UDP,51033,26163,2085,6228,316,57,normal
209.230.198.17,103.137.184.106,TCP,39495,13023,4600,6566,551,99,normal
196.71.165.49,62.200.188.92,TCP,5980,47056,5272,734,574,150,normal
191.204.197.88,223.91.184.196,TCP,59402,53003,2444,8251,14,122,normal
159.38.16.248,132.230.240.119,UDP,50482,21671,6079,9536,371,74,normal
232.115.93.61,246.81.252.254,ICMP,21797,19869,3686,7252,307,40,port_scan
32.37.167.101,74.179.77.34,ICMP,56876,317,9453,3656,268,114,normal
16.45.62.100,3.183.184.28,ICMP,10381,41369,7969,2819,76,48,normal
84.109.239.170,129.98.170.11,UDP,57109,14756,4217,9918,131,75,normal
55.88.121.124,174.34.154.193,TCP,7001,38836,7746,9977,320,121,normal
126.142.114.128,119.225.209.40,TCP,25086,32096,2390,682,151,111,normal
70.19.71.29,178.121.227.251,ICMP,21123,56640,5976,8828,549,94,normal
52.191.88.87,7.168.119.109,ICMP,48919,30089,8615,3323,361,102,normal
111.211.183.35,171.46.223.102,UDP,7548,26342,8329,5869,227,58,normal
84.190.37.136,152.15.65.32,ICMP,21882,26959,3540,7750,515,120,normal
12.108.109.117,112.143.36.141,TCP,14801,43513,4790,6578,26,54,normal
112.48.43.196,204.220.159.144,UDP,28356,34025,7945,2625,464,104,port_scan
60.127.232.241,135.146.242.154,UDP,44698,54388,2351,1052,99,1,normal
96.227.217.32,68.222.91.106,ICMP,25428,46107,4542,4154,209,101,normal
62.34.224.180,136.196.69.145,UDP,33282,47567,5277,2786,355,71,normal
236.74.90.144,85.89.135.54,TCP,14154,7467,3742,5579,281,39,normal
84.81.170.255,40.6.65.127,TCP,43931,32751,2399,3971,195,10,normal
47.6.80.98,190.99.210.85,ICMP,40218,16863,7100,4673,248,64,normal
67.201.210.133,164.208.10.134,TCP,3437,46826,4891,2046,471,94,normal
236.85.213.178,2.63.128.187,UDP,64860,51714,2259,3362,465,47,normal
54.159.120.241,81.210.173.188,ICMP,14870,53613,3995,3199,545,34,normal
227.139.199.90,194.32.216.191,TCP,53809,34861,1920,7921,93,11,normal
187.240.46.222,248.139.153.12,ICMP,22733,15260,535,2536,415,26,normal
175.132.64.2,207.227.241.46,TCP,52723,34718,8855,4974,141,83,normal
247.16.28.47,184.142.96.176,TCP,1350,27570,3202,2759,539,113,normal
242.253.99.112,156.218.66.143,UDP,41541,51922,6936,2003,386,51,normal
128.123.172.189,56.122.119.20,TCP,34995,15582,1822,3596,62,106,normal
29.141.60.248,242.91.153.12,ICMP,33065,26838,6169,4397,171,113,normal
20.246.49.33,48.185.145.197,UDP,39164,43036,511,4365,153,5,normal
204.40.48.63,83.131.117.152,ICMP,34000,17383,9527,127,421,138,normal
124.47.197.183,59.115.53.208,ICMP,45957,62744,2909,2574,579,130,normal
132.166.8.118,44.241.128.20,UDP,37212,17158,9372,2634,215,109,normal
118.179.96.43,208.244.27.227,ICMP,8736,48436,8871,7175,5,87,normal
31.118.209.243,186.50.79.228,ICMP,23708,42050,9602,4189,260,28,normal
255.198.121.245,47.208.224.237,UDP,6717,1122,7545,6292,29,55,normal
240.187.43.192,202.232.133.226,ICMP,13190,1415,914,4722,172,98,normal
192.16.139.247,70.86.115.111,ICMP,17747,25711,7672,9154,106,70,normal
172.107.24.23,110.220.159.30,ICMP,52635,46695,481,496,194,10,normal
76.62.153.66,245.3.12.57,TCP,46343,19713,4000,6480,494,85,normal
191.239.98.111,240.109.198.54,UDP,30517,2476,5184,5373,111,88,normal
168.220.172.63,4.18.75.123,UDP,33401,13555,3119,697,283,34,brute_force
153.226.25.17,167.231.77.53,UDP,20079,62662,5968,2763,215,111,normal
96.254.157.125,40.168.166.10,UDP,28823,31442,8933,2891,433,144,normal
254.36.39.82,113.155.55.90,UDP,32664,20820,6886,4609,236,126,normal
162.118.154.188,86.202.22.191,UDP,19542,20037,6278,839,35,115,normal
6.31.176.182,61.249.26.215,ICMP,35181,55148,7647,4815,36,135,normal
9.176.177.97,12.170.154.49,TCP,5065,9,2100,7906,390,39,normal
32.67.101.49,22.55.212.230,ICMP,41805,59697,6071,2146,94,52,icmp_flood
58.6.16.105,65.160.81.138,TCP,61916,13317,1135,7364,212,21,normal
117.146.54.159,97.200.163.111,UDP,15614,3897,4409,4266,80,17,icmp_flood
122.9.207.151,199.186.246.168,UDP,29320,15985,700,2433,310,96,normal
196.247.44.104,26.125.246.220,TCP,59556,27670,278,486,52,11,normal
217.96.50.65,83.114.219.33,UDP,39950,1515,5426,7351,95,104,normal
237.194.192.242,110.89.81.34,TCP,57362,4361,1560,9162,380,87,normal
30.164.41.51,57.91.16.71,ICMP,50147,60489,2114,2567,294,137,normal
115.21.26.205,240.231.186.234,TCP,43595,51728,7896,5871,450,5,normal
242.120.254.191,230.13.238.42,TCP,30397,15011,6898,1268,93,127,normal
93.211.73.52,18.24.54.210,TCP,13813,6256,7839,3839,349,78,normal
223.125.15.155,1.27.80.246,TCP,35131,52137,209,4338,161,47,brute_force
57.7.182.145,125.224.187.52,TCP,10253,8145,3210,9477,397,31,normal
5.186.67.126,230.207.8.33,UDP,24089,60753,6905,2558,437,75,normal
52.139.130.193,36.26.169.114,UDP,41304,40809,5545,7971,125,49,normal
77.36.142.200,91.23.137.132,UDP,46398,51924,9748,5027,80,8,normal
166.51.40.102,47.101.186.30,ICMP,12154,28674,5325,4078,595,129,normal
130.32.146.66,75.141.64.47,ICMP,13993,36115,7667,3631,391,12,normal
140.207.192.242,225.79.36.119,TCP,65239,23600,2751,698,581,126,normal
183.82.25.80,201.50.46.33,ICMP,13609,54479,3134,7099,58,5,normal
239.71.5.27,119.206.185.248,TCP,51620,2347,7407,2041,272,3,normal
120.10.89.84,86.150.15.48,UDP,51825,1699,397,456,486,100,normal
211.16.7.87,191.190.118.188,UDP,54033,60031,3631,3640,490,87,normal
204.17.3.42,175.12.24.187,UDP,43054,18171,4881,2057,521,34,normal
43.106.187.253,172.51.94.207,TCP,6291,17100,1106,719,309,11,normal
76.69.134.211,58.142.96.43,TCP,52705,29890,4096,4774,237,100,normal
191.163.89.231,213.59.19.164,UDP,33950,47934,6814,7652,32,42,normal
26.158.133.200,76.91.124.200,UDP,27331,3415,167,7151,305,89,normal
176.220.73.108,23.62.141.215,UDP,62862,29243,1905,6830,215,95,normal
208.142.170.109,214.244.224.45,UDP,18466,5745,8821,8259,169,47,normal
185.27.96.161,37.66.200.120,UDP,24842,4867,1374,2177,280,60,normal
31.250.168.141,62.206.109.237,TCP,22478,50011,172,4732,345,103,icmp_flood
244.250.197.80,141.61.115.6,ICMP,55836,57359,770,2068,241,137,normal
111.240.47.31,174.226.103.98,ICMP,24713,6003,5979,1663,342,146,normal
168.76.202.99,74.123.29.169,TCP,36289,64729,1759,7390,127,42,brute_force
88.163.154.86,152.205.119.127,TCP,61844,19992,7744,224,67,76,normal
192.77.171.83,29.184.141.227,ICMP,28272,558,3790,9177,493,79,normal
211.42.131.147,146.253.37.97,TCP,7322,37536,3541,159,495,42,normal
144.68.171.123,76.226.255.11,ICMP,9943,58594,2916,6079,557,143,normal
195.213.185.172,185.37.69.197,ICMP,55988,13095,4254,3030,62,114,normal
54.221.200.72,174.135.118.182,ICMP,46292,26558,134,6366,403,72,normal
76.43.144.120,196.74.185.1,TCP,44789,9981,9055,2022,485,53,normal
218.23.160.111,52.166.125.205,UDP,27685,2858,1182,569,281,89,normal
213.148.112.98,32.144.124.110,ICMP,39934,27744,7129,784,390,121,normal
158.125.91.181,109.51.23.87,ICMP,56033,6517,6018,9271,381,143,normal
45.183.239.213,212.43.110.40,ICMP,27931,58656,2317,1896,275,91,normal
249.115.207.46,217.180.110.42,TCP,21330,40911,6843,2258,470,95,normal
171.138.61.119,168.222.74.106,UDP,40213,53985,8998,1241,147,62,normal
239.171.120.156,86.238.113.15,TCP,18269,59881,2416,3680,505,127,normal
4.199.179.140,124.15.209.23,TCP,44893,42600,1057,3144,11,83,normal
35.19.221.190,50.105.98.95,UDP,28536,64685,5785,5709,497,57,normal
59.130.176.245,45.187.222.124,TCP,21096,16717,7084,8113,433,105,normal
194.87.16.231,52.207.238.12,ICMP,9005,65187,6062,2489,129,108,normal
147.44.228.1,107.17.87.78,ICMP,8770,62587,5596,9132,541,96,normal
62.51.158.161,100.170.45.183,TCP,20666,32746,8294,6204,584,123,normal
178.212.86.157,170.115.65.155,ICMP,51100,51275,5755,8594,64,17,normal
68.85.57.56,174.115.247.87,ICMP,53174,53216,4874,7322,552,106,normal
108.8.98.46,118.72.61.77,ICMP,2295,6356,4606,8745,354,136,normal
98.31.172.61,249.103.225.129,TCP,4273,65023,6452,7073,570,47,normal
127.188.66.251,177.136.136.227,TCP,25073,5881,4270,2951,504,89,normal
10.98.84.252,185.17.239.149,ICMP,24405,10079,5022,1606,410,102,normal
106.105.191.150,72.59.203.50,ICMP,43379,25305,964,4537,401,9,normal
33.199.127.38,142.58.204.196,TCP,48823,65150,7484,3835,279,41,normal
251.118.203.67,64.80.203.175,UDP,34045,56405,2262,3222,500,28,normal
141.163.93.163,153.1.72.215,TCP,52985,21617,6129,3492,431,101,normal
245.106.38.174,84.138.154.254,ICMP,57309,25383,9429,7352,193,22,normal
247.45.59.128,94.62.155.86,TCP,38030,40995,7300,3138,552,141,normal
104.57.209.6,214.46.207.226,TCP,53712,63576,7189,7741,72,99,normal
17.143.28.110,121.245.155.13,ICMP,43217,12241,5445,2949,554,107,normal
214.151.141.106,206.38.43.163,ICMP,3434,1153,9587,6603,10,79,normal
191.108.173.111,155.233.207.153,UDP,18242,53534,4236,9617,321,100,normal
133.184.36.53,2.17.101.113,TCP,28594,28731,6832,9557,279,34,icmp_flood
167.230.49.235,197.183.156.70,TCP,34063,16440,2027,3377,257,114,normal
71.244.2.95,137.41.213.237,UDP,35143,56561,7811,5973,505,37,normal
25.154.152.222,246.81.143.68,UDP,25685,41105,1270,4658,174,47,normal
137.99.47.15,84.32.26.223,ICMP,25414,41671,3763,3719,404,137,normal
181.100.126.209,191.171.89.97,TCP,63595,64026,9037,3733,455,145,normal
198.28.107.92,1.64.15.213,TCP,32746,5004,5646,7299,170,21,normal
54.1.43.41,41.207.11.221,UDP,59401,1588,3925,701,259,110,normal
197.140.164.133,252.147.95.96,TCP,33239,48093,1249,5391,153,80,port_scan
131.214.51.2,91.230.9.192,UDP,54132,50246,3375,5488,390,73,normal
163.115.12.70,127.196.96.89,TCP,17579,38420,9817,3810,591,52,normal
195.7.84.252,176.179.2.195,TCP,44599,21055,8284,5681,25,128,normal
58.95.199.216,177.2.212.226,ICMP,27256,55254,232,7046,25,90,normal
26.157.120.149,179.199.228.59,UDP,64647,53099,4517,6396,522,113,normal
255.142.229.229,235.12.115.35,ICMP,21483,26000,8586,3055,571,68,normal
11.144.62.46,247.174.128.149,ICMP,18738,46127,8721,8876,177,87,normal
