Customer_ID,Age,Gender,City,Annual_Income,Purchase_Frequency,Average_Spending_Per_Transaction,Preferred_Product_Category,Total_Spent
CUST-0090,22,Male,Bandung,149832293,7,650462,Health & Beauty,4553234
CUST-0091,56,Female,Medan,182343863,9,2231266,Fashion,20081394
CUST-0092,58,Male,Bandung,97091255,6,2448691,Health & Beauty,14692146
CUST-0093,28,Female,Surabaya,134636328,2,2166599,Electronics,4333198
CUST-0094,52,Male,Jakarta,183435479,13,183151,Groceries,2380963
CUST-0095,64,Male,Makassar,104956751,20,586289,Fashion,11725780
CUST-0096,33,Female,Medan,89701961,14,2138449,Books,29938286
CUST-0097,28,Male,Surabaya,161033632,20,415281,Books,8305620
CUST-0098,47,Male,Medan,174388688,9,1313946,Books,11825514
CUST-0099,42,Female,Bandung,187300826,5,2873027,Groceries,14365135
CUST-0100,35,Female,Surabaya,114986783,3,2351610,Groceries,7054830
CUST-0101,58,Male,Jakarta,54819605,12,2007913,Health & Beauty,24094956
CUST-0102,62,Female,Jakarta,184897210,6,754864,Fashion,4529184
CUST-0103,53,Female,Jakarta,171031004,19,1921862,Books,36515378
CUST-0104,32,Female,Jakarta,153250534,4,535191,Electronics,2140764
CUST-0105,61,Male,Makassar,159507463,1,2072361,Fashion,2072361
CUST-0106,38,Female,Medan,189612985,17,2829322,Fashion,48098474
CUST-0107,21,Male,Surabaya,153611362,14,2317725,Groceries,32448150
CUST-0108,32,Female,Jakarta,152205657,15,1060414,Health & Beauty,15906210
CUST-0109,20,Male,Makassar,68293479,16,1070709,Health & Beauty,17131344
CUST-0110,38,Male,Jakarta,183586112,4,937685,Books,3750740
CUST-0111,43,Female,Jakarta,82470739,8,764847,Books,6118776
CUST-0112,35,Male,Bandung,97977294,7,2817171,Fashion,19720197
CUST-0113,22,Male,Surabaya,71957143,7,2985631,Health & Beauty,20899417
CUST-0114,31,Female,Medan,20424374,9,425104,Fashion,3825936
CUST-0115,54,Female,Bandung,51730987,10,492371,Electronics,4923710
CUST-0116,63,Male,Bandung,26438907,16,1874075,Groceries,29985200
CUST-0117,38,Female,Medan,144791787,13,172565,Health & Beauty,2243345
CUST-0118,31,Female,Jakarta,187895839,5,722075,Fashion,3610375
CUST-0119,59,Male,Jakarta,51655444,14,1419443,Groceries,19872202
CUST-0120,49,Male,Surabaya,75654947,7,1658472,Books,11609304
CUST-0121,43,Male,Jakarta,185170480,20,1225906,Electronics,24518120
CUST-0122,59,Female,Bandung,131301954,7,974324,Fashion,6820268
CUST-0123,47,Male,Bandung,131143322,10,1130572,Health & Beauty,11305720
CUST-0124,27,Female,Bandung,32211717,7,2843124,Electronics,19901868
CUST-0125,34,Male,Medan,109601676,14,2047756,Electronics,28668584
CUST-0126,26,Male,Jakarta,113858468,6,2862705,Fashion,17176230
CUST-0127,33,Male,Jakarta,170435390,14,566310,Electronics,7928340
CUST-0128,65,Male,Jakarta,191128554,5,2841210,Health & Beauty,14206050
CUST-0129,53,Female,Jakarta,76999030,1,619403,Fashion,619403
CUST-0130,52,Female,Surabaya,23032586,10,2292037,Groceries,22920370
CUST-0131,34,Female,Surabaya,191964669,9,2707293,Electronics,24365637
CUST-0132,65,Female,Bandung,74005761,8,2113424,Health & Beauty,16907392
CUST-0133,55,Female,Bandung,95598592,20,429340,Books,8586800
CUST-0134,45,Male,Medan,88294682,15,2951554,Health & Beauty,44273310
CUST-0135,55,Male,Makassar,38209604,8,1445869,Groceries,11566952
CUST-0136,43,Female,Bandung,102617065,12,988711,Groceries,11864532
CUST-0137,41,Female,Jakarta,100606871,19,2465802,Electronics,46850238
CUST-0138,32,Male,Bandung,156013461,15,2569432,Books,38541480
CUST-0139,26,Female,Bandung,167637783,3,321233,Electronics,963699
CUST-0140,50,Female,Surabaya,106952642,1,2751075,Groceries,2751075
CUST-0141,49,Male,Jakarta,21645849,16,1489593,Health & Beauty,23833488
CUST-0142,23,Female,Medan,50557822,5,1631295,Fashion,8156475
CUST-0143,21,Female,Medan,109464945,11,1650758,Fashion,18158338
CUST-0144,25,Female,Medan,111633552,13,2792737,Health & Beauty,36305581
CUST-0145,27,Female,Bandung,126313681,7,2743171,Books,19202197
CUST-0146,58,Female,Medan,172718713,13,2406779,Health & Beauty,31288127
CUST-0147,28,Female,Medan,185354453,14,1882752,Books,26358528
CUST-0148,61,Male,Medan,27816137,20,1028814,Groceries,20576280
CUST-0149,45,Female,Surabaya,67145075,9,987640,Electronics,8888760
CUST-0150,56,Female,Jakarta,72080661,3,1136718,Health & Beauty,3410154
CUST-0151,22,Female,Surabaya,108721899,4,535238,Groceries,2140952
CUST-0152,42,Female,Jakarta,110714232,18,1270443,Groceries,22867974
CUST-0153,42,Male,Surabaya,148609646,2,417758,Electronics,835516
CUST-0154,56,Female,Jakarta,147372744,2,517172,Electronics,1034344
CUST-0155,47,Male,Medan,29545095,11,423877,Health & Beauty,4662647
CUST-0156,51,Female,Makassar,193315949,8,1477060,Health & Beauty,11816480
CUST-0157,34,Male,Medan,56441159,16,2533868,Fashion,40541888
CUST-0158,53,Female,Makassar,149250471,12,839185,Groceries,10070220
CUST-0159,18,Female,Medan,61711189,20,536984,Fashion,10739680
CUST-0160,61,Male,Surabaya,188362848,20,2452660,Health & Beauty,49053200
CUST-0161,64,Male,Makassar,143646184,2,1592400,Fashion,3184800
CUST-0162,25,Female,Medan,164141127,1,584427,Books,584427
CUST-0163,61,Female,Bandung,109955312,9,1364378,Groceries,12279402
CUST-0164,52,Female,Makassar,144143364,17,1644653,Books,27959101
CUST-0165,35,Female,Jakarta,131119678,20,2469764,Books,49395280
CUST-0166,59,Female,Surabaya,35038366,13,57040,Health & Beauty,741520
CUST-0167,39,Male,Medan,159874528,10,1353585,Books,13535850
CUST-0168,25,Female,Medan,100354475,13,309564,Health & Beauty,4024332
CUST-0169,36,Female,Jakarta,171650634,12,2524890,Electronics,30298680
CUST-0170,45,Female,Medan,104692148,5,2296481,Electronics,11482405
CUST-0171,28,Male,Medan,169029246,18,846320,Fashion,15233760
CUST-0172,47,Female,Jakarta,163850662,2,1678000,Electronics,3356000
CUST-0173,18,Female,Jakarta,25024691,19,1827120,Fashion,34715280
CUST-0174,64,Female,Bandung,75905031,6,1390679,Electronics,8344074
CUST-0175,64,Male,Bandung,174993998,9,1581020,Electronics,14229180
CUST-0176,34,Male,Jakarta,109045218,6,2899199,Electronics,17395194
CUST-0177,50,Female,Makassar,114917581,17,579771,Books,9856107
CUST-0178,29,Female,Makassar,37773927,16,2229995,Groceries,35679920
CUST-0179,50,Male,Makassar,60078731,11,2833938,Fashion,31173318
CUST-0180,24,Male,Surabaya,95285414,15,2573367,Electronics,38600505
CUST-0181,58,Male,Bandung,28367983,5,2527894,Books,12639470
CUST-0182,37,Female,Makassar,111040532,3,981729,Electronics,2945187
CUST-0183,58,Male,Makassar,120727929,11,497053,Groceries,5467583
CUST-0184,50,Male,Makassar,188177724,17,1708060,Fashion,29037020
CUST-0185,56,Male,Jakarta,163417862,14,88539,Books,1239546
CUST-0186,30,Male,Medan,64552094,5,2307764,Health & Beauty,11538820
CUST-0187,27,Female,Surabaya,173271716,9,1981908,Health & Beauty,17837172
CUST-0188,41,Female,Medan,182588426,4,1375090,Health & Beauty,5500360
CUST-0189,28,Female,Bandung,124573400,11,656919,Electronics,7226109
CUST-0190,52,Male,Medan,70299143,2,1294968,Fashion,2589936
CUST-0191,51,Male,Surabaya,179770600,5,968150,Groceries,4840750
CUST-0192,18,Female,Makassar,51365242,16,2146450,Health & Beauty,34343200
CUST-0193,56,Female,Makassar,102753663,9,2902046,Fashion,26118414
CUST-0194,38,Female,Jakarta,104422788,12,1961698,Fashion,23540376
CUST-0195,49,Female,Jakarta,28490134,14,668346,Fashion,9356844
CUST-0196,19,Male,Surabaya,92879532,10,2572728,Groceries,25727280
CUST-0197,25,Male,Makassar,131097266,9,1238635,Groceries,11147715
CUST-0198,41,Female,Medan,43299603,20,661826,Books,13236520
CUST-0199,37,Female,Medan,153427033,9,2840683,Groceries,25566147
CUST-0200,33,Female,Surabaya,83791605,17,2998456,Electronics,50973752
CUST-0201,21,Female,Jakarta,119746206,11,194048,Electronics,2134528
CUST-0202,33,Male,Medan,141307680,14,2561886,Fashion,35866404
CUST-0203,54,Male,Bandung,101236274,6,1392761,Books,8356566
CUST-0204,23,Male,Surabaya,78019606,11,1345584,Books,14801424
CUST-0205,23,Male,Bandung,160955570,16,2157126,Health & Beauty,34514016
CUST-0206,64,Female,Bandung,101152950,5,2938197,Groceries,14690985
CUST-0207,49,Female,Jakarta,66979626,18,567845,Fashion,10221210
CUST-0208,22,Male,Makassar,50126852,15,1196943,Fashion,17954145
CUST-0209,52,Female,Surabaya,120452759,2,2457412,Groceries,4914824
CUST-0210,26,Female,Makassar,30038152,7,2056063,Electronics,14392441
CUST-0211,26,Female,Medan,74250378,5,2696929,Fashion,13484645
CUST-0212,60,Male,Medan,44858229,2,954732,Fashion,1909464
CUST-0213,48,Female,Surabaya,139124701,8,2126287,Groceries,17010296
CUST-0214,53,Female,Jakarta,155826916,6,1272619,Health & Beauty,7635714
CUST-0215,28,Male,Medan,26693376,2,1630030,Fashion,3260060
CUST-0216,34,Male,Medan,149563913,16,296677,Electronics,4746832
CUST-0217,51,Male,Makassar,154232306,9,1447309,Health & Beauty,13025781
CUST-0218,56,Male,Medan,61359938,6,690479,Health & Beauty,4142874
CUST-0219,45,Female,Jakarta,71059559,15,933375,Groceries,14000625
CUST-0220,31,Male,Medan,111299167,14,994019,Electronics,13916266
CUST-0221,52,Female,Medan,149781011,4,2987721,Fashion,11950884
CUST-0222,64,Male,Bandung,160560310,16,270479,Groceries,4327664
CUST-0223,62,Female,Jakarta,103311281,2,800865,Electronics,1601730
CUST-0224,30,Female,Medan,107869113,15,2094742,Fashion,31421130
CUST-0225,63,Male,Jakarta,58465470,12,1693361,Electronics,20320332
CUST-0226,37,Female,Jakarta,46374202,18,1304523,Books,23481414
CUST-0227,43,Female,Medan,158552053,16,2815096,Groceries,45041536
CUST-0228,60,Male,Medan,55625991,15,717704,Health & Beauty,10765560
CUST-0229,59,Male,Jakarta,75079494,16,140453,Books,2247248
CUST-0230,41,Female,Makassar,29811997,4,2348239,Electronics,9392956
CUST-0231,46,Male,Makassar,143310768,5,1695364,Health & Beauty,8476820
CUST-0232,51,Male,Jakarta,124042418,4,1465200,Fashion,5860800
CUST-0233,46,Male,Jakarta,160215885,12,1821831,Health & Beauty,21861972
CUST-0234,25,Male,Makassar,51094486,3,2893313,Electronics,8679939
CUST-0235,33,Male,Makassar,21103235,7,2035674,Electronics,14249718
CUST-0236,32,Female,Bandung,103478411,10,1510906,Electronics,15109060
CUST-0237,22,Male,Makassar,31819202,6,1691494,Books,10148964
CUST-0238,39,Female,Makassar,179527856,6,1690237,Groceries,10141422
CUST-0239,19,Female,Surabaya,43374257,17,351248,Fashion,5971216
CUST-0240,55,Female,Medan,109466787,9,2263940,Books,20375460
CUST-0241,53,Male,Bandung,145326045,19,1237155,Books,23505945
CUST-0242,32,Male,Bandung,32385551,19,1234320,Fashion,23452080
CUST-0243,55,Male,Jakarta,47676455,7,2970813,Fashion,20795691
CUST-0244,32,Female,Surabaya,159741514,19,868275,Electronics,16497225
CUST-0245,18,Female,Medan,196894746,1,2990662,Electronics,2990662
CUST-0246,22,Female,Bandung,103880927,17,2348520,Groceries,39924840
CUST-0247,63,Female,Makassar,26034498,19,1701601,Groceries,32330419
CUST-0248,58,Female,Makassar,175037536,6,458187,Health & Beauty,2749122
CUST-0249,21,Male,Makassar,103790221,14,599037,Health & Beauty,8386518
CUST-0250,32,Male,Medan,191490218,3,1406515,Groceries,4219545
CUST-0251,22,Female,Bandung,76330022,8,2484305,Books,19874440
CUST-0252,20,Male,Medan,106135668,16,277009,Groceries,4432144
CUST-0253,39,Female,Jakarta,73836210,4,1325378,Health & Beauty,5301512
CUST-0254,22,Female,Jakarta,71686077,11,1969030,Groceries,21659330
CUST-0255,50,Female,Surabaya,96924844,1,2795733,Groceries,2795733
CUST-0256,33,Male,Jakarta,94262544,10,736584,Health & Beauty,7365840
CUST-0257,35,Male,Bandung,162881699,4,2470773,Electronics,9883092
CUST-0258,60,Male,Bandung,105671119,13,626972,Groceries,8150636
CUST-0259,49,Female,Bandung,138411073,12,1903394,Groceries,22840728
CUST-0260,31,Male,Makassar,51581657,19,2969049,Groceries,56411931
CUST-0261,52,Male,Makassar,93190057,4,2073507,Books,8294028
CUST-0262,26,Male,Bandung,60082977,11,1270884,Books,13979724
CUST-0263,64,Female,Jakarta,62277515,5,657431,Health & Beauty,3287155
CUST-0264,54,Male,Jakarta,93453843,1,929823,Electronics,929823
CUST-0265,54,Male,Surabaya,50725229,3,964930,Groceries,2894790
CUST-0266,48,Female,Medan,24095442,15,870636,Books,13059540
CUST-0267,33,Male,Surabaya,187220514,16,2781490,Electronics,44503840
CUST-0268,48,Female,Medan,170223397,15,88304,Fashion,1324560
CUST-0269,44,Female,Jakarta,157992108,9,1569285,Health & Beauty,14123565
CUST-0270,30,Male,Bandung,47481159,20,2464585,Fashion,49291700
CUST-0271,24,Female,Makassar,75452692,1,477600,Fashion,477600
CUST-0272,24,Male,Surabaya,165633943,11,2895071,Groceries,31845781
CUST-0273,60,Female,Surabaya,114037808,2,669102,Health & Beauty,1338204
CUST-0274,45,Male,Jakarta,167469221,20,1629389,Electronics,32587780
CUST-0275,40,Female,Medan,105492642,15,1841433,Fashion,27621495
CUST-0276,45,Male,Surabaya,92759995,11,2899799,Books,31897789
CUST-0277,44,Male,Medan,57998870,19,755578,Health & Beauty,14355982
CUST-0278,47,Male,Surabaya,96039093,5,286271,Groceries,1431355
CUST-0279,64,Male,Bandung,174104217,7,452853,Fashion,3169971
CUST-0280,21,Female,Jakarta,85719730,2,1541426,Electronics,3082852
CUST-0281,61,Male,Medan,65976276,10,2037578,Fashion,20375780
CUST-0282,59,Male,Jakarta,39124113,11,803434,Health & Beauty,8837774
CUST-0283,59,Male,Makassar,103584777,2,270084,Electronics,540168
CUST-0284,24,Male,Jakarta,184621501,3,542188,Groceries,1626564
CUST-0285,21,Female,Medan,110929529,18,2211891,Books,39814038
CUST-0286,43,Male,Medan,165110060,20,2776707,Health & Beauty,55534140
CUST-0287,64,Female,Makassar,139090756,13,1469712,Books,19106256
CUST-0288,39,Male,Makassar,33616706,3,2538868,Fashion,7616604
CUST-0289,24,Female,Surabaya,54916475,13,1869578,Groceries,24304514
CUST-0290,33,Female,Medan,27782664,9,673140,Groceries,6058260
CUST-0291,30,Female,Jakarta,146362118,6,2679713,Groceries,16078278
CUST-0292,30,Female,Makassar,33544183,8,1744473,Health & Beauty,13955784
CUST-0293,52,Male,Jakarta,48434540,13,1077608,Books,14008904
CUST-0294,46,Female,Makassar,122971744,3,192576,Health & Beauty,577728
CUST-0295,26,Female,Medan,34441794,1,548293,Groceries,548293
CUST-0296,45,Female,Makassar,43117549,7,1060220,Groceries,7421540
CUST-0297,29,Male,Medan,134478527,6,1713648,Fashion,10281888
CUST-0298,35,Male,Makassar,125204354,13,2099445,Electronics,27292785
CUST-0299,47,Male,Surabaya,68045381,13,1319572,Books,17154436
CUST-0300,33,Female,Makassar,180020108,10,2935614,Books,29356140
CUST-0301,22,Female,Surabaya,179116787,5,2550457,Groceries,12752285
CUST-0302,46,Female,Surabaya,188972251,4,773462,Books,3093848
CUST-0303,53,Female,Jakarta,139678260,10,2788028,Electronics,27880280
CUST-0304,24,Male,Medan,185440888,16,1624422,Health & Beauty,25990752
CUST-0305,21,Female,Makassar,115462174,14,2951597,Health & Beauty,41322358
CUST-0306,59,Male,Makassar,103870149,10,2863270,Books,28632700
CUST-0307,52,Female,Bandung,109209716,20,2812028,Groceries,56240560
CUST-0308,18,Female,Makassar,73189716,5,425856,Groceries,2129280
CUST-0309,23,Female,Medan,163206271,12,1994788,Electronics,23937456
CUST-0310,33,Female,Medan,41084425,4,2777601,Electronics,11110404
CUST-0311,28,Male,Makassar,145009147,12,1652647,Health & Beauty,19831764
CUST-0312,44,Female,Surabaya,172414780,17,1204339,Fashion,20473763
CUST-0313,49,Male,Bandung,55378526,7,2702198,Health & Beauty,18915386
CUST-0314,48,Female,Medan,44941994,16,2789700,Fashion,44635200
CUST-0315,31,Male,Bandung,145701856,15,1916961,Books,28754415
CUST-0316,43,Female,Bandung,46108837,13,1590664,Groceries,20678632
CUST-0317,21,Male,Medan,142294944,16,98664,Books,1578624
CUST-0318,28,Female,Surabaya,103320133,9,553318,Books,4979862
CUST-0319,42,Female,Surabaya,192984802,19,539171,Fashion,10244249
CUST-0320,18,Male,Medan,144928938,20,396604,Groceries,7932080
CUST-0321,42,Male,Makassar,146311196,14,561921,Health & Beauty,7866894
CUST-0322,34,Male,Makassar,82194941,3,2101930,Groceries,6305790
CUST-0323,47,Male,Bandung,80074367,14,2740265,Electronics,38363710
CUST-0324,36,Female,Makassar,58579995,12,2855117,Groceries,34261404
CUST-0325,45,Female,Bandung,185609131,20,2188040,Electronics,43760800
CUST-0326,62,Female,Makassar,89270510,6,993445,Health & Beauty,5960670
CUST-0327,64,Male,Surabaya,117562690,14,146581,Electronics,2052134
CUST-0328,53,Male,Surabaya,125247347,14,2511429,Fashion,35160006
CUST-0329,60,Female,Surabaya,69218465,3,2453260,Groceries,7359780
CUST-0330,63,Female,Makassar,198558063,2,2451786,Books,4903572
CUST-0331,49,Male,Bandung,108671735,17,2061161,Electronics,35039737
CUST-0332,27,Male,Bandung,107177391,11,1198085,Electronics,13178935
CUST-0333,30,Female,Surabaya,141677246,15,2959697,Health & Beauty,44395455
CUST-0334,36,Female,Surabaya,150864092,8,446585,Groceries,3572680
CUST-0335,31,Female,Makassar,28123966,5,2536714,Electronics,12683570
CUST-0336,21,Female,Makassar,37546336,16,809574,Health & Beauty,12953184
CUST-0337,55,Female,Bandung,147596596,17,1660444,Groceries,28227548
CUST-0338,65,Male,Jakarta,50302889,17,2080846,Electronics,35374382
CUST-0339,52,Male,Bandung,114339176,3,2753634,Electronics,8260902
CUST-0340,21,Female,Makassar,148487190,10,2997492,Groceries,29974920
CUST-0341,65,Female,Medan,143813620,15,1868887,Fashion,28033305
CUST-0342,38,Male,Makassar,65849190,14,1301426,Groceries,18219964
CUST-0343,21,Male,Makassar,95767885,3,2446722,Groceries,7340166
CUST-0344,21,Female,Medan,113580744,16,575279,Books,9204464
CUST-0345,55,Male,Makassar,182253189,10,467086,Books,4670860
CUST-0346,48,Male,Bandung,174264020,5,1414109,Fashion,7070545
CUST-0347,50,Female,Medan,54197066,5,316331,Electronics,1581655
CUST-0348,51,Female,Jakarta,156351700,10,2304484,Groceries,23044840
CUST-0349,28,Female,Makassar,47630654,8,825484,Fashion,6603872
CUST-0350,21,Female,Jakarta,128900500,17,1750079,Fashion,29751343
CUST-0351,50,Male,Jakarta,48717573,14,2989124,Health & Beauty,41847736
CUST-0352,23,Male,Medan,107474989,10,132822,Books,1328220
CUST-0353,29,Female,Surabaya,169290341,19,1701702,Electronics,32332338
CUST-0354,22,Male,Jakarta,194335786,2,2382285,Groceries,4764570
CUST-0355,56,Female,Jakarta,39038512,18,2299895,Fashion,41398110
CUST-0356,22,Female,Surabaya,101099216,3,2273348,Electronics,6820044
CUST-0357,61,Female,Bandung,163007798,2,2099182,Health & Beauty,4198364
CUST-0358,33,Female,Surabaya,143741995,17,318148,Groceries,5408516
CUST-0359,43,Male,Bandung,127593353,4,2226429,Fashion,8905716
CUST-0360,25,Female,Bandung,178520789,17,2502499,Health & Beauty,42542483
CUST-0361,54,Male,Surabaya,130982466,14,2310653,Health & Beauty,32349142
CUST-0362,33,Male,Jakarta,84042066,14,2783430,Health & Beauty,38968020
CUST-0363,55,Female,Bandung,186664820,4,570468,Electronics,2281872
CUST-0364,56,Female,Surabaya,85415320,15,920166,Groceries,13802490
CUST-0365,20,Male,Makassar,167088944,19,2812294,Groceries,53433586
CUST-0366,57,Female,Jakarta,62686683,9,542101,Books,4878909
CUST-0367,23,Female,Bandung,149486460,12,807760,Groceries,9693120
CUST-0368,44,Female,Medan,123029946,9,2562818,Fashion,23065362
CUST-0369,60,Male,Jakarta,37732828,19,2965946,Books,56352974
CUST-0370,55,Male,Makassar,111459760,3,804712,Health & Beauty,2414136
CUST-0371,54,Male,Makassar,75898500,17,72330,Groceries,1229610
CUST-0372,51,Female,Surabaya,178637355,1,2376671,Books,2376671
CUST-0373,38,Female,Makassar,135735543,4,1925830,Fashion,7703320
CUST-0374,34,Female,Medan,136864371,15,1368253,Fashion,20523795
CUST-0375,31,Female,Surabaya,172259595,6,566089,Groceries,3396534
CUST-0376,60,Male,Makassar,111858837,6,214178,Fashion,1285068
CUST-0377,63,Male,Bandung,166170321,13,590293,Health & Beauty,7673809
CUST-0378,38,Female,Jakarta,83392193,2,2462064,Books,4924128
CUST-0379,33,Male,Medan,66462273,3,914990,Fashion,2744970
CUST-0380,34,Male,Medan,197868622,14,2787372,Groceries,39023208
CUST-0381,43,Male,Medan,199745776,10,726164,Groceries,7261640
CUST-0382,26,Male,Bandung,40909619,11,418347,Electronics,4601817
CUST-0383,60,Female,Makassar,174132494,19,2409280,Groceries,45776320
CUST-0384,59,Female,Jakarta,150628828,15,1126931,Books,16903965
